40,200,250,140,104,111,111,114,127,0
120,200,250,139,124,125,116,113,130,0
40,450,250,185,150,134,146,141,146,0
120,450,250,209,177,168,200,168,172,0
40,325,150,183,131,123,133,117,114,0
120,325,150,169,129,121,135,119,116,0
40,325,350,176,151,154,143,146,164,0
120,325,350,180,153,154,153,150,171,1
80,200,150,132,108,104,111,102,101,1
80,450,150,206,142,138,175,141,135,1
80,200,350,183,141,156,131,138,160,1
80,450,350,182,180,184,192,175,191,1
80,325,250,171,135,133,155,138,144,1
80,325,250,190,149,146,160,141,149,1
80,325,250,180,141,138,159,140,148,1
